DatumExport;BrinVest;EsisIdentificatienummer;Vormingsgebied;Toets;Toetsversie;Schooljaar;Afnamedatum;Leerjaar;Afnamemoment;DL;Ruwescore;Vaardigheidsscore;DLE;AE;IV;Norm
03-04-2013;13NU00;135946421;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;10;;50;;;
03-04-2013;13NU00;135946421;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;81;70;23;E;V;
03-04-2013;13NU00;135946421;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;249;82;35;D;V;
03-04-2013;13NU00;135946421;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;86;85;37;D;V;
03-04-2013;13NU00;135946421;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;82;90;46;C;IV;
03-04-2013;13NU00;135946442;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946442;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;109;95;49;B;III;
03-04-2013;13NU00;135946442;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;301;100;;B;II;
03-04-2013;13NU00;135946442;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;108;106;;B;II;
03-04-2013;13NU00;135946442;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;84;92;47;C;IV;
03-04-2013;13NU00;135946444;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946444;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;99;105;;A;II;
03-04-2013;13NU00;135946449;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946449;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;87;76;28;D;V;
03-04-2013;13NU00;135946449;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;260;86;38;D;IV;
03-04-2013;13NU00;135946449;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;85;84;36;D;V;
03-04-2013;13NU00;135946449;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;68;78;30;E;V;
03-04-2013;13NU00;135946515;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M6 - Totaal;2012-2013;01-02-2013;8;M6;56;52;76;31;C;IV;
03-04-2013;13NU00;135946515;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946518;Spelling;CITO Spelling;LOVS E6 - Start + Vervolg 1;2012-2013;01-02-2013;8;E6;56;39;130;29;D;V;
03-04-2013;13NU00;135946518;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946518;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;89;96;55;C;III;
03-04-2013;13NU00;135946521;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946521;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;86;75;27;D;V;
03-04-2013;13NU00;135946521;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;238;79;31;E;V;
03-04-2013;13NU00;135946521;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;74;73;25;E;V;
03-04-2013;13NU00;135946521;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;78;87;39;D;IV;
03-04-2013;13NU00;135946536;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946536;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;90;97;;B;III;
03-04-2013;13NU00;135946584;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946584;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;101;107;;A;I;
03-04-2013;13NU00;135946605;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 1;2012-2013;22-01-2013;7;M7;45;29;26;28;D;V;
03-04-2013;13NU00;135946605;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;49;90;41;C;IV;
03-04-2013;13NU00;135946605;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;47;139;45;B;III;
03-04-2013;13NU00;135946605;Spelling;PI-Dictee;1999 M7 - Dictee;2012-2013;17-02-2013;7;M7;46;108;;40;C;;
03-04-2013;13NU00;135946605;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;7;;46;11;;55;;;
03-04-2013;13NU00;135946605;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;22-01-2013;7;M7;45;84;92;47;B;III;
03-04-2013;13NU00;135946626;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;10;;50;;;
03-04-2013;13NU00;135946626;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;86;75;27;D;V;
03-04-2013;13NU00;135946626;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;247;82;34;D;V;
03-04-2013;13NU00;135946626;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;80;79;31;D;V;
03-04-2013;13NU00;135946626;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;81;89;44;C;IV;
03-04-2013;13NU00;135946641;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;45;55;;A;II;
03-04-2013;13NU00;135946641;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;76;106;54;A;II;
03-04-2013;13NU00;135946641;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;54;145;;A;I;
03-04-2013;13NU00;135946641;Spelling;PI-Dictee;1999 M7 - Dictee;2012-2013;17-02-2013;7;M7;46;128;;60;A;;
03-04-2013;13NU00;135946641;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;7;;46;11;;55;;;
03-04-2013;13NU00;135946641;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;22-01-2013;7;M7;45;104;110;;A;I;
03-04-2013;13NU00;135946643;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946643;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;93;100;;B;II;
03-04-2013;13NU00;135946658;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;32;35;36;C;IV;
03-04-2013;13NU00;135946658;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;52;91;42;C;IV;
03-04-2013;13NU00;135946658;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;42;136;38;C;IV;
03-04-2013;13NU00;135946658;Spelling;PI-Dictee;1999 M7 - Dictee;2012-2013;17-02-2013;7;M7;46;101;;36;D;;
03-04-2013;13NU00;135946658;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;7;;46;11;;55;;;
03-04-2013;13NU00;135946658;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;22-01-2013;7;M7;45;82;90;46;B;III;
03-04-2013;13NU00;135946664;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946664;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;96;83;36;C;V;
03-04-2013;13NU00;135946664;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;272;90;45;C;IV;
03-04-2013;13NU00;135946664;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;90;89;43;C;IV;
03-04-2013;13NU00;135946664;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;86;94;48;C;III;
03-04-2013;13NU00;135946672;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946672;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;112;117;;A;I;
03-04-2013;13NU00;135946688;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946688;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;94;82;34;C;V;
03-04-2013;13NU00;135946688;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;269;89;44;C;IV;
03-04-2013;13NU00;135946688;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;88;87;39;C;IV;
03-04-2013;13NU00;135946688;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;87;95;49;C;III;
03-04-2013;13NU00;135946701;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946701;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;90;97;;B;III;
03-04-2013;13NU00;135946703;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946703;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;97;84;37;C;V;
03-04-2013;13NU00;135946703;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;280;93;47;C;III;
03-04-2013;13NU00;135946703;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;99;97;;B;III;
03-04-2013;13NU00;135946703;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;84;92;47;C;IV;
03-04-2013;13NU00;135946719;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946719;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;94;101;;B;II;
03-04-2013;13NU00;135946727;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946727;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;99;105;;A;II;
03-04-2013;13NU00;135946729;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946729;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;98;85;38;C;V;
03-04-2013;13NU00;135946729;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;286;95;49;C;III;
03-04-2013;13NU00;135946729;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;103;101;;B;II;
03-04-2013;13NU00;135946729;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;85;93;48;C;III;
03-04-2013;13NU00;135946733;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 1;2012-2013;22-01-2013;7;M7;45;32;29;31;D;V;
03-04-2013;13NU00;135946733;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;50;90;41;C;IV;
03-04-2013;13NU00;135946733;Spelling;CITO Spelling;LOVS E5 - Start + Vervolg 1;2012-2013;05-02-2013;7;E5;46;27;122;21;D;V;
03-04-2013;13NU00;135946743;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946743;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;92;99;;B;II;
03-04-2013;13NU00;135946746;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;23-01-2013;7;M7;45;42;49;52;B;II;
03-04-2013;13NU00;135946746;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;69;101;51;B;II;
03-04-2013;13NU00;135946746;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;23-01-2013;7;M7;45;52;142;55;B;II;
03-04-2013;13NU00;135946746;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 1*;2012-2013;31-01-2013;7;M7;45;101;88;40;B;III;
03-04-2013;13NU00;135946746;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 1+2+3;2012-2013;31-01-2013;7;M7;45;275;91;46;B;III;
03-04-2013;13NU00;135946746;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 2*;2012-2013;31-01-2013;7;M7;45;100;98;;B;II;
03-04-2013;13NU00;135946746;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;31-01-2013;7;M7;45;72;81;34;D;IV;
03-04-2013;13NU00;135946748;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;23-01-2013;7;M7;45;47;60;;A;I;
03-04-2013;13NU00;135946748;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;94;136;;A+;I;
03-04-2013;13NU00;135946748;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;23-01-2013;7;M7;45;55;146;;A;I;
03-04-2013;13NU00;135946748;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;31-01-2013;7;;45;11;;55;;;
03-04-2013;13NU00;135946748;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;31-01-2013;7;M7;45;98;104;;A;I;
03-04-2013;13NU00;135946753;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;37;41;42;C;III;
03-04-2013;13NU00;135946753;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;56;93;43;C;IV;
03-04-2013;13NU00;135946753;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;41;135;38;C;IV;
03-04-2013;13NU00;135946753;Spelling;PI-Dictee;1999 M7 - Dictee;2012-2013;17-02-2013;7;M7;46;111;;43;C;;
03-04-2013;13NU00;135946753;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;7;;46;10;;50;;;
03-04-2013;13NU00;135946753;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 1*;2012-2013;22-01-2013;7;M7;45;104;90;45;B;III;
03-04-2013;13NU00;135946753;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 1+2+3;2012-2013;22-01-2013;7;M7;45;269;89;44;C;III;
03-04-2013;13NU00;135946753;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 2*;2012-2013;22-01-2013;7;M7;45;95;94;48;B;II;
03-04-2013;13NU00;135946753;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;22-01-2013;7;M7;45;70;80;32;D;IV;
03-04-2013;13NU00;135946755;Begr. lezen;CITO Begrijpend lezen;LOVS M6 - Start + Vervolg 2;2012-2013;23-01-2013;6;M6;35;43;60;;A;I;
03-04-2013;13NU00;135946755;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M6 - Totaal;2012-2013;24-01-2013;6;M6;35;84;100;50;A;I;
03-04-2013;13NU00;135946755;Spelling;CITO Spelling;LOVS M6 - Start + Vervolg 2;2012-2013;23-01-2013;6;M6;35;59;150;;A;I;
03-04-2013;13NU00;135946755;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;31-01-2013;6;;35;11;;55;;;
03-04-2013;13NU00;135946755;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M6 - Kaart 3;2012-2013;31-01-2013;6;M6;35;90;97;;A;I;
03-04-2013;13NU00;135946763;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;23-01-2013;7;M7;45;48;63;;A;I;
03-04-2013;13NU00;135946763;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;80;110;;A;I;
03-04-2013;13NU00;135946763;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;23-01-2013;7;M7;45;55;146;;A;I;
03-04-2013;13NU00;135946763;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;31-01-2013;7;;45;11;;55;;;
03-04-2013;13NU00;135946763;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;31-01-2013;7;M7;45;116;120;;A;I;
03-04-2013;13NU00;135946765;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;41;47;50;B;III;
03-04-2013;13NU00;135946765;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;47;88;41;C;IV;
03-04-2013;13NU00;135946765;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 1;2012-2013;22-01-2013;7;M7;45;37;131;31;D;V;
03-04-2013;13NU00;135946765;Spelling;PI-Dictee;1999 M7 - Dictee;2012-2013;17-02-2013;7;M7;46;90;;30;E;;
03-04-2013;13NU00;135946765;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;7;;46;9;;45;;;
03-04-2013;13NU00;135946765;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 1*;2012-2013;22-01-2013;7;M7;45;77;67;21;D;V;
03-04-2013;13NU00;135946765;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 1+2+3;2012-2013;22-01-2013;7;M7;45;196;65;20;E;V;
03-04-2013;13NU00;135946765;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 2*;2012-2013;22-01-2013;7;M7;45;67;66;21;E;V;
03-04-2013;13NU00;135946765;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;22-01-2013;7;M7;45;52;61;19;E;V;
03-04-2013;13NU00;135946767;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;23-01-2013;7;M7;45;41;47;50;B;III;
03-04-2013;13NU00;135946767;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;74;105;54;A;II;
03-04-2013;13NU00;135946767;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;23-01-2013;7;M7;45;51;141;53;B;II;
03-04-2013;13NU00;135946767;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;31-01-2013;7;;45;11;;55;;;
03-04-2013;13NU00;135946767;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;31-01-2013;7;M7;45;84;92;47;B;III;
03-04-2013;13NU00;135946769;Begr. lezen;CITO Begrijpend lezen;LOVS M6 - Start + Vervolg 1;2012-2013;23-01-2013;6;M6;35;10;-8;;E;V;
03-04-2013;13NU00;135946769;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M6 - Totaal;2012-2013;24-01-2013;6;M6;35;33;65;23;D;V;
03-04-2013;13NU00;135946769;Spelling;CITO Spelling;LOVS M6 - Start + Vervolg 2;2012-2013;23-01-2013;6;M6;35;41;130;30;C;IV;
03-04-2013;13NU00;135946769;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;31-01-2013;6;;35;9;;45;;;
03-04-2013;13NU00;135946769;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M6 - Kaart 3;2012-2013;31-01-2013;6;M6;35;88;96;52;A;I;
03-04-2013;13NU00;135946775;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;10;;50;;;
03-04-2013;13NU00;135946775;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1*;2012-2013;04-02-2013;8;M8;56;71;62;19;E;V;
03-04-2013;13NU00;135946775;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 1+2+3;2012-2013;04-02-2013;8;M8;56;191;63;19;E;V;
03-04-2013;13NU00;135946775;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 2*;2012-2013;04-02-2013;8;M8;56;64;63;19;E;V;
03-04-2013;13NU00;135946775;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;56;66;21;E;V;
03-04-2013;13NU00;135946793;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;8;;56;11;;55;B;;
03-04-2013;13NU00;135946793;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M8 - Kaart 3;2012-2013;04-02-2013;8;M8;56;98;104;;A;II;
03-04-2013;13NU00;135946797;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;47;60;;A;I;
03-04-2013;13NU00;135946797;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;78;108;55;A;I;
03-04-2013;13NU00;135946797;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;52;142;55;B;II;
03-04-2013;13NU00;135946797;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;7;;46;11;;55;;;
03-04-2013;13NU00;135946797;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;22-01-2013;7;M7;45;94;101;;A;I;
03-04-2013;13NU00;135946817;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;33;36;37;C;IV;
03-04-2013;13NU00;135946817;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;74;105;54;A;II;
03-04-2013;13NU00;135946817;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 1;2012-2013;22-01-2013;7;M7;45;41;133;34;D;V;
03-04-2013;13NU00;135946817;Tech. lezen;AVI;AVI-CITO - AVI-Beheersing (0=Start t/m 11=Plus);2012-2013;04-02-2013;7;;46;11;;55;;;
03-04-2013;13NU00;135946817;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 1*;2012-2013;22-01-2013;7;M7;45;107;93;47;B;III;
03-04-2013;13NU00;135946817;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 1+2+3;2012-2013;22-01-2013;7;M7;45;282;93;48;B;III;
03-04-2013;13NU00;135946817;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 2*;2012-2013;22-01-2013;7;M7;45;94;93;47;B;III;
03-04-2013;13NU00;135946817;Tech. lezen;CITO Drie-Minuten-Toets;LOVS M7 - Kaart 3;2012-2013;22-01-2013;7;M7;45;81;89;44;C;III;
03-04-2013;13NU00;135946828;Begr. lezen;CITO Begrijpend lezen;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;43;51;54;B;II;
03-04-2013;13NU00;135946828;Rek. en wisk.;CITO Rekenen-Wiskunde;LOVS M7 - Totaal;2012-2013;24-01-2013;7;M7;45;56;93;43;C;IV;
03-04-2013;13NU00;135946828;Spelling;CITO Spelling;LOVS M7 - Start + Vervolg 2;2012-2013;22-01-2013;7;M7;45;39;134;37;C;IV;
