ILT_ILTCode,ILT_niveau,ILT_toev,ILT_NiveauIndex,ILT_Element_Opleidingsnaam,ILT_Element_Onderwijstype_Leerjaar,ILT_Element_LWOOIndicatie,ILT_Element_VMBOSector,ILT_Element_Afdeling,ILT_Element_RuimteALG,ILT_Element_RuimteSPEC,ILT_Element_RuimteGyml
2571,LWOO,Basisbg,1,,,,,,,,
2581,LWOO,Basisbg,1,LWOO Basisbg Lw Landb LB-ISP,VMBO BL lj 3-4,J,Landbouw,Landbouw Breed -ISP,5.03,4.69,1.26
2611,LWOO,Basisbg,1,LWOO Basisbg Lw LWT Tech Bouw,VMBO BL lj 3-4,J,Techniek,Bouwtechniek,4.44,12.72,1.26
2612,LWOO,Basisbg,1,LWOO Basisbg Lw LWT Tech Metaal,VMBO BL lj 3-4,J,Techniek,Metaaltechniek,4.44,12.72,1.26
2613,LWOO,Basisbg,1,LWOO Basisbg Lw LWT Tech Elektro,VMBO BL lj 3-4,J,Techniek,Elektrotechniek,4.44,12.72,1.26
2614,LWOO,Basisbg,1,LWOO Basisbg Lw LWT Tech Vrtgn,VMBO BL lj 3-4,J,Techniek,Voertuigentechniek,4.44,12.72,1.26
2615,LWOO,Basisbg,1,,,,,,,,
2616,LWOO,Basisbg,1,,,,,,,,
2617,LWOO,Basisbg,1,LWOO Basisbg Lw LWT Tech T & L,VMBO BL lj 3-4,J,Techniek,Transport en Logistiek,4.44,12.72,1.26
2618,LWOO,Basisbg,1,,,,,,,,
2619,LWOO,Basisbg,1,,,,,,,,
2620,LWOO,Basisbg,1,,,,,,,,
2621,LWOO,Basisbg,1,,,,,,,,
2622,LWOO,Basisbg,1,,,,,,,,
2623,LWOO,Basisbg,1,,,,,,,,
2631,LWOO,Basisbg,1,,,,,,,,
2632,LWOO,Basisbg,1,LWOO Basisbg Lw LWT ZrgWlz Uit Vz,VMBO BL lj 3-4,J,Zorg & Welzijn,Uiterlijke Verzorging,4.85,5.53,1.26
2641,LWOO,Basisbg,1,LWOO Basisbg Lw LWT ZrgWlz ZW-ISP,VMBO BL lj 3-4,J,Zorg & Welzijn,Zorg en Welzijn -ISP,4.85,5.53,1.26
2651,LWOO,Basisbg,1,,,,,,,,
2652,LWOO,Basisbg,1,,,,,,,,
2653,LWOO,Basisbg,1,,,,,,,,
