ILT_ILTCode,ILT_niveau,ILT_toev,ILT_NiveauIndex,ILT_Element_Opleidingsnaam,ILT_Element_Onderwijstype_Leerjaar,ILT_Element_LWOOIndicatie,ILT_Element_VMBOSector,ILT_Element_Afdeling,ILT_Element_RuimteALG,ILT_Element_RuimteSPEC,ILT_Element_RuimteGyml
3453,VMBO,Gemengde,3,VMBO Gemengde Lw T & C,VMBO GL lj 3-4,N,Intersect. programma,Techniek & Commercie,5.98,5.47,1.11
3454,VMBO,Basisbg,1,,,,,,,,
3461,VMBO,Basisbg,1,,,,,,,,
3462,VMBO,Kaderbg,2,,,,,,,,
3463,VMBO,Gemengde,3,VMBO Gemengde Lw T & D,VMBO GL lj 3-4,N,Intersect. programma,Techniek & Dienstverlening,5.98,5.47,1.11
3464,VMBO,Basisbg,1,,,,,,,,
3471,VMBO,Basisbg,1,VMBO Basisbg Lw D & C,VMBO BL lj 3-4,N,Intersect. Programma,Dienstverlening & Commercie,5.56,2.25,1.38
3472,VMBO,Kaderbg,2,VMBO Kaderbg Lw D & C,VMBO KL lj 3-4,N,Intersect. Programma,Dienstverlening & Commercie,5.56,2.25,1.38
3473,VMBO,Gemengde,3,VMBO Gemengde Lw D & C,VMBO GL lj 3-4,N,Intersect. programma,Dienstverlening & Commercie,5.95,0.89,1.11
3474,VMBO,Basisbg,1,,,,,,,,
4010,VWO-ATH,,5,VWO-ATH naar VAVO,VWO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4011,VWO-ATH,,5,VWO-ATH NW naar VAVO,VWO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4015,VWO-ATH,,5,VWO-ATH naar VAVO teruggekeerd gezakt,VWO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4016,VWO-ATH,,5,VWO-ATH NW naar VAVO teruggekeerd gezakt,VWO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4020,VWO-GYM,,5,VWO-GYM naar VAVO,VWO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4021,VWO-GYM,,5,,,,,,,,
4025,VWO-GYM,,5,VWO-GYM naar VAVO teruggekeerd gezakt,VWO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4026,VWO-GYM,,5,VWO-GYM NW naar VAVO teruggekeerd gezakt,VWO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4030,HAVO,,4,HAVO naar VAVO,HAVO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4031,HAVO,,4,HAVO NW naar VAVO,HAVO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4035,HAVO,,4,HAVO naar VAVO teruggekeerd gezakt,HAVO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4036,HAVO,,4,HAVO NW naar VAVO teruggekeerd gezakt,HAVO uitbest. aan VAVO,N,N.v.t.,N.v.t.,5.85,,0.78
4040,VMBO-TL,,3,VMBO-TL naar VAVO,VMBO uitbest. aan VAVO,N,N.v.t.,N.v.t.,6.41,,1.11
4045,VMBO-TL,,3,VMBO-TL naar VAVO teruggekeerd gezakt,VMBO uitbest. aan VAVO,N,N.v.t.,N.v.t.,6.41,,1.11
4050,LWOO,VMBO-TL,3,LWOO VMBO-TL naar VAVO,VMBO uitbest. aan VAVO,J,N.v.t.,N.v.t.,7.07,,1.26
4055,LWOO,VMBO-TL,3,,,,,,,,
4111,Exp.VMBO,Basisbg,1,,,,,,,,
4131,Exp.VMBO,Basisbg,1,Experimentele leergang VMBO Basisbg Lw ZrgWlz - MBO niveau 2,VMBO-MBO2 lj 3-4,N,Zorg & Welzijn,N.v.t.,5.33,2.1,1.38
4151,Exp.VMBO,Basisbg,1,Experimentele leergang VMBO Basisbg Lw Ec - MBO niveau 2,VMBO-MBO2 lj 3-4,N,Economie,N.v.t.,5.95,0.89,1.38
4171,Exp.VMBO,Basisbg,1,,,,,,,,
4191,Exp.VMBO,Basisbg,1,,,,,,,,
4231,BBL,Basisbg,1,Borging exp. VM2 LWOO Basisbg. LW ZrgWlz,VMBO-MBO2 lj 3-4,J,Zorg & Welzijn,N.v.t.,4.85,5.53,1.26
4251,BBL,Basisbg,1,Borging exp. VM2 LWOO Basisbg. LW Ec.,VMBO-MBO2 lj 3-4,J,Economie,N.v.t.,5.85,3.06,1.26
4331,BBL,Basisbg,1,Borging exp. VM2 VMBO Basisbg. LW ZrgWlz,VMBO-MBO2 lj 3-4,N,Zorg & Welzijn,N.v.t.,4.71,4.22,1.38
4351,BBL,Basisbg,1,Borging exp. VM2 VMBO Basisbg. LW Ec.,VMBO-MBO2 lj 3-4,N,Economie,N.v.t.,5.56,2.25,1.38
