PrognLL_Brin,PrognLL_ImportJaar,PrognLL_PrognoseJaar,PrognLL_AantalLL,PrognLL_InvoerWie,PrognLL_InvoerWanneer
23ZU00,2011,2020,417,eneheuvel,23-09-11
23ZU00,2011,2025,420,eneheuvel,23-09-11
23ZU00,2011,2030,424,eneheuvel,23-09-11
23ZU00,2011,2035,428,eneheuvel,23-09-11
23ZU00,2011,2012,579,eneheuvel,23-09-11
23ZU00,2011,2013,556,eneheuvel,23-09-11
23ZU00,2011,2014,517,eneheuvel,23-09-11
23ZU00,2011,2015,489,eneheuvel,23-09-11
23ZV00,2010,2010,263,eneheuvel,23-09-11
23ZV00,2011,2011,225,eneheuvel,23-09-11
23ZV00,2011,2016,180,eneheuvel,23-09-11
23ZV00,2011,2017,180,eneheuvel,23-09-11
23ZV00,2011,2018,183,eneheuvel,23-09-11
23ZV00,2011,2019,182,eneheuvel,23-09-11
23ZV00,2011,2020,181,eneheuvel,23-09-11
06RM00,2010,2010,242,eneheuvel,23-09-11
06RM00,2011,2011,207,eneheuvel,23-09-11
06RM00,2011,2012,199,eneheuvel,23-09-11
06RM00,2011,2017,190,eneheuvel,23-09-11
06RM00,2011,2018,193,eneheuvel,23-09-11
06RM00,2011,2019,194,eneheuvel,23-09-11
06RM00,2011,2020,195,eneheuvel,23-09-11
06RM00,2011,2025,206,eneheuvel,23-09-11
06RM00,2011,2030,223,eneheuvel,23-09-11
06RM00,2011,2035,240,eneheuvel,23-09-11
06RM00,2011,2013,192,eneheuvel,23-09-11
06RM00,2011,2014,188,eneheuvel,23-09-11
06RM00,2011,2015,186,eneheuvel,23-09-11
06RM00,2011,2016,188,eneheuvel,23-09-11
12HU00,2010,2010,106,eneheuvel,23-09-11
12HU00,2011,2011,87,eneheuvel,23-09-11
12HU00,2011,2012,87,eneheuvel,23-09-11
12HU00,2011,2017,96,eneheuvel,23-09-11
12HU00,2011,2018,100,eneheuvel,23-09-11
12HU00,2011,2019,101,eneheuvel,23-09-11
12HU00,2011,2020,102,eneheuvel,23-09-11
12HU00,2011,2025,108,eneheuvel,23-09-11
12HU00,2011,2030,120,eneheuvel,23-09-11
12HU00,2011,2035,130,eneheuvel,23-09-11
12HU00,2011,2013,85,eneheuvel,23-09-11
12HU00,2011,2014,86,eneheuvel,23-09-11
12HU00,2011,2015,89,eneheuvel,23-09-11
12HU00,2011,2016,92,eneheuvel,23-09-11
12PM00,2010,2010,211,eneheuvel,23-09-11
12PM00,2011,2011,175,eneheuvel,23-09-11
12PM00,2011,2012,167,eneheuvel,23-09-11
12PM00,2011,2017,199,eneheuvel,23-09-11
12PM00,2011,2018,208,eneheuvel,23-09-11
12PM00,2011,2019,211,eneheuvel,23-09-11
12PM00,2011,2020,213,eneheuvel,23-09-11
12PM00,2011,2025,220,eneheuvel,23-09-11
12PM00,2011,2030,218,eneheuvel,23-09-11
12PM00,2011,2035,211,eneheuvel,23-09-11
12PM00,2011,2013,166,eneheuvel,23-09-11
12PM00,2011,2014,173,eneheuvel,23-09-11
12PM00,2011,2015,179,eneheuvel,23-09-11
12PM00,2011,2016,188,eneheuvel,23-09-11
12QK00,2010,2010,246,eneheuvel,23-09-11
12QK00,2011,2011,231,eneheuvel,23-09-11
12QK00,2011,2012,230,eneheuvel,23-09-11
12QK00,2011,2017,218,eneheuvel,23-09-11
12QK00,2011,2018,220,eneheuvel,23-09-11
12QK00,2011,2019,220,eneheuvel,23-09-11
12QK00,2011,2020,219,eneheuvel,23-09-11
12QK00,2011,2025,216,eneheuvel,23-09-11
12QK00,2011,2030,213,eneheuvel,23-09-11
12QK00,2011,2035,212,eneheuvel,23-09-11
12QK00,2011,2013,228,eneheuvel,23-09-11
12QK00,2011,2014,222,eneheuvel,23-09-11
12QK00,2011,2015,216,eneheuvel,23-09-11
12QK00,2011,2016,218,eneheuvel,23-09-11
12XA00,2010,2010,103,eneheuvel,23-09-11
12XA00,2011,2011,86,eneheuvel,23-09-11
12XA00,2011,2012,81,eneheuvel,23-09-11
12XA00,2011,2017,78,eneheuvel,23-09-11
12XA00,2011,2018,81,eneheuvel,23-09-11
12XA00,2011,2019,80,eneheuvel,23-09-11
12XA00,2011,2020,79,eneheuvel,23-09-11
12XA00,2011,2025,77,eneheuvel,23-09-11
12XA00,2011,2030,77,eneheuvel,23-09-11
12XA00,2011,2035,78,eneheuvel,23-09-11
12XA00,2011,2013,77,eneheuvel,23-09-11
12XA00,2011,2014,76,eneheuvel,23-09-11
12XA00,2011,2015,75,eneheuvel,23-09-11
12XA00,2011,2016,76,eneheuvel,23-09-11
13CW00,2010,2010,189,eneheuvel,23-09-11
13CW00,2011,2011,188,eneheuvel,23-09-11
13CW00,2011,2012,184,eneheuvel,23-09-11
13CW00,2011,2017,168,eneheuvel,23-09-11
13CW00,2011,2018,169,eneheuvel,23-09-11
13CW00,2011,2019,168,eneheuvel,23-09-11
13CW00,2011,2020,168,eneheuvel,23-09-11
13CW00,2011,2025,166,eneheuvel,23-09-11
13CW00,2011,2030,164,eneheuvel,23-09-11
13CW00,2011,2035,164,eneheuvel,23-09-11
13CW00,2011,2013,179,eneheuvel,23-09-11
